1.885: [GC 94372K->5180K(6094848K), 0.0107210 secs]
1.896: [Full GC 5180K->4894K(6094848K), 0.0289970 secs]
38.020: [GC 1184542K->16435K(6094848K), 0.0166960 secs]
99.167: [GC 1196083K->33525K(6094848K), 0.0406240 secs]
140.991: [GC 1213173K->42007K(6094848K), 0.0485200 secs]
172.257: [GC 1221655K->48054K(6094848K), 0.0497180 secs]
199.809: [GC 1227702K->52825K(6227648K), 0.0507330 secs]
226.338: [GC 1365273K->57332K(6094848K), 0.0702890 secs]
251.301: [GC 1369780K->62408K(6217088K), 0.0769320 secs]
275.971: [GC 1490120K->67582K(6218880K), 0.0712750 secs]
298.501: [GC 1495294K->71742K(6219648K), 0.0561050 secs]
318.059: [GC 1500222K->73526K(6218880K), 0.0393290 secs]
338.128: [GC 1502006K->76723K(6224576K), 0.0369210 secs]
357.374: [GC 1513075K->81186K(6221824K), 0.0411440 secs]
375.780: [GC 1517538K->83493K(6228288K), 0.0366400 secs]
392.879: [GC 1528101K->88348K(6226368K), 0.0491000 secs]
409.707: [GC 1532956K->92751K(6230272K), 0.0446350 secs]
426.267: [GC 1542479K->96678K(6229504K), 0.0577080 secs]
442.047: [GC 1546406K->100389K(6231040K), 0.0435570 secs]
457.624: [GC 1552037K->104821K(6230656K), 0.0457810 secs]
472.627: [GC 1556469K->107653K(6231552K), 0.0428190 secs]
487.093: [GC 1560192K->112290K(6231040K), 0.0439270 secs]
500.764: [GC 1564834K->116631K(6232000K), 0.0451980 secs]
514.737: [GC 1570391K->120363K(6231808K), 0.0445050 secs]
528.031: [GC 1574123K->126163K(6232768K), 0.0457300 secs]
540.552: [GC 1581523K->130904K(6232640K), 0.0475320 secs]
553.281: [GC 1586264K->135695K(6233152K), 0.0475760 secs]
565.095: [GC 1591631K->141471K(6232832K), 0.0453740 secs]
577.031: [GC 1597407K->146954K(6233472K), 0.0475430 secs]
589.356: [GC 1603658K->153676K(6233280K), 0.0456010 secs]
600.283: [GC 1610380K->159330K(6233536K), 0.0475480 secs]
611.740: [GC 1616162K->166576K(6233344K), 0.0484300 secs]
623.176: [GC 1623408K->172544K(6233728K), 0.0480470 secs]
634.301: [GC 1629760K->179898K(6224640K), 0.0476650 secs]
644.689: [GC 1637114K->186504K(6233536K), 0.0494890 secs]
655.749: [GC 1643464K->194986K(6225216K), 0.0494320 secs]
666.243: [GC 1651946K->201401K(6233408K), 0.0492380 secs]
676.872: [GC 1657976K->210353K(6233216K), 0.0498050 secs]
687.094: [GC 1666929K->218950K(6233664K), 0.0515310 secs]
697.387: [GC 1676038K->226219K(6233472K), 0.0499640 secs]
706.949: [GC 1683307K->236012K(6234304K), 0.0527490 secs]
716.542: [GC 1694380K->245631K(6234112K), 0.0520240 secs]
726.057: [GC 1703999K->254840K(6235008K), 0.0554950 secs]
735.580: [GC 1714424K->265366K(6234624K), 0.0518880 secs]
744.728: [GC 1724950K->277015K(6235520K), 0.0561180 secs]
753.973: [GC 1737879K->289124K(6230208K), 0.0544690 secs]
763.414: [GC 1749988K->298181K(6235712K), 0.0537840 secs]
772.434: [GC 1759045K->310471K(6235200K), 0.0537870 secs]
781.698: [GC 1771335K->321424K(6236288K), 0.0557240 secs]
790.227: [GC 1783376K->334159K(6235712K), 0.0608320 secs]
799.135: [GC 1796111K->346042K(6236480K), 0.0561590 secs]
807.699: [GC 1808885K->356791K(6236416K), 0.0581230 secs]
816.230: [GC 1819639K->370709K(6236672K), 0.0575820 secs]
824.822: [GC 1834389K->383241K(6232768K), 0.0564420 secs]
833.212: [GC 1846921K->396219K(6236800K), 0.0590840 secs]
841.413: [GC 1859771K->408839K(6232960K), 0.0568950 secs]
849.785: [GC 1872391K->422059K(6236928K), 0.0568430 secs]
858.102: [GC 1885675K->437596K(6236736K), 0.0804390 secs]
866.175: [GC 1901212K->451755K(6236416K), 0.0588760 secs]
874.366: [GC 1914923K->465389K(6236608K), 0.0592940 secs]
882.079: [GC 1928545K->479912K(6237248K), 0.0578120 secs]
889.959: [GC 1944168K->494279K(6237056K), 0.0596200 secs]
897.840: [GC 1958535K->509101K(6237632K), 0.0594660 secs]
905.542: [GC 1974253K->524853K(6237568K), 0.0598640 secs]
913.188: [GC 1990005K->540282K(6237952K), 0.0650380 secs]
920.850: [GC 2005946K->555614K(6237760K), 0.0592820 secs]
928.411: [GC 2021278K->570843K(6238336K), 0.0601690 secs]
935.815: [GC 2037211K->589110K(6237184K), 0.0619090 secs]
943.286: [GC 2055478K->604134K(6237952K), 0.0688940 secs]
950.703: [GC 2069926K->620242K(6237888K), 0.0621120 secs]
957.805: [GC 2086034K->637163K(6238144K), 0.0636600 secs]
965.156: [GC 2103531K->652895K(6238208K), 0.0620920 secs]
972.523: [GC 2119263K->670759K(6237888K), 0.0640180 secs]
979.446: [GC 2136871K->686426K(6238080K), 0.0624170 secs]
