76.511: [GC 1258368K->40860K(6134208K), 0.1092310 secs]
144.712: [GC 1299228K->16624K(6134208K), 0.0456840 secs]
193.761: [GC 1274992K->20089K(6134208K), 0.1079780 secs]
234.962: [GC 1278457K->21250K(6134208K), 0.0505410 secs]
270.512: [GC 1279618K->29728K(6134208K), 0.0536640 secs]
302.365: [GC 1288096K->40771K(6134208K), 0.0726270 secs]
331.214: [GC 1299139K->43620K(6134208K), 0.0574330 secs]
357.906: [GC 1301988K->46623K(6134208K), 0.0579590 secs]
382.259: [GC 1304991K->51459K(6134208K), 0.0632500 secs]
405.809: [GC 1309827K->56655K(6134208K), 0.0624000 secs]
427.559: [GC 1315023K->57850K(6134208K), 0.0595460 secs]
448.911: [GC 1316218K->64172K(6134208K), 0.0523790 secs]
468.956: [GC 1322540K->64456K(6134208K), 0.0501100 secs]
488.122: [GC 1322824K->69491K(6134208K), 0.0568370 secs]
506.811: [GC 1327859K->75611K(6134208K), 0.0742500 secs]
524.815: [GC 1333979K->79676K(6134208K), 0.0596680 secs]
544.263: [GC 1338044K->90347K(6134208K), 0.0835610 secs]
562.941: [GC 1348715K->96011K(6134208K), 0.0770620 secs]
582.164: [GC 1354379K->109462K(6134208K), 0.0819880 secs]
600.533: [GC 1367830K->130668K(6134208K), 0.0929290 secs]
619.821: [GC 1389036K->161937K(6134208K), 0.1129460 secs]
